date,region,product,category,sales,quantity,profit
2024-01-05,North,Widget A,Electronics,12500,50,3200
2024-01-08,South,Widget B,Electronics,8300,35,1800
2024-01-12,East,Gadget X,Accessories,4500,120,1100
2024-01-15,West,Widget A,Electronics,15200,62,4100
2024-01-18,North,Gadget Y,Accessories,2800,90,600
2024-01-22,South,Widget C,Electronics,9700,40,2400
2024-01-25,East,Widget A,Electronics,11000,45,2900
2024-01-28,West,Gadget X,Accessories,3900,105,950
2024-02-02,North,Widget B,Electronics,8800,36,1950
2024-02-06,South,Widget A,Electronics,13200,53,3500
2024-02-10,East,Widget C,Electronics,9100,38,2200
2024-02-14,West,Gadget Y,Accessories,3100,98,720
2024-02-18,North,Widget A,Electronics,14500,59,3800
2024-02-22,South,Gadget X,Accessories,4200,112,1000
2024-02-26,East,Widget B,Electronics,7900,32,1700
2024-03-01,West,Widget A,Electronics,16000,65,4300
2024-03-05,North,Widget C,Electronics,10200,42,2600
2024-03-09,South,Gadget Y,Accessories,2600,85,580
2024-03-13,East,Widget A,Electronics,12800,52,3300
2024-03-17,West,Widget B,Electronics,9200,38,2050
2024-03-21,North,Gadget X,Accessories,4800,128,1200
2024-03-25,South,Widget A,Electronics,14000,57,3700
2024-03-29,East,Widget C,Electronics,8600,36,2100
2024-04-02,West,Gadget Y,Accessories,3400,108,800
2024-04-06,North,Widget A,Electronics,15800,64,4200
2024-04-10,South,Widget B,Electronics,8100,33,1750
2024-04-14,East,Gadget X,Accessories,4100,109,980
2024-04-18,West,Widget A,Electronics,17200,70,4600
2024-04-22,North,Widget C,Electronics,10800,45,2750
2024-04-26,South,Gadget Y,Accessories,2900,92,650
